wdid,icrsra,icrsdec,spectype,teff,logg,Dpc
Gaia DR2 6022604288655213824,16 15 26.47,-35 57 40.30,DA,6907.0,8.085,93.50
Gaia DR2 6022729907881436544,16 11 07.96,-36 07 24.07,DA,11835.0,8.083,88.52
Gaia DR2 6022888100119614720,16 13 10.57,-35 13 44.98,DC:,4873.0,7.963,52.47
Gaia DR2 6023340411705119488,16 16 20.75,-34 16 26.93,DA,6918.0,7.787,79.85
Gaia DR2 6024047084133542528,16 30 57.13,-33 24 03.43,DC:,4912.0,8.05,62.49
Gaia DR2 6024298498635547264,16 38 45.35,-32 56 58.73,CND,,,77.75
Gaia DR2 6024346082577857280,16 37 08.35,-32 52 10.92,DZ,8359.0,7.99,93.22
Gaia DR2 6024847395455196032,16 28 00.33,-33 03 34.28,DC:,5835.0,8.168,79.37
Gaia DR2 6025158488538920832,16 26 35.33,-32 07 40.72,DC,7276.0,8.036,57.09
Gaia DR2 6025582418978705536,16 29 26.36,-31 23 09.27,DA:,5040.0,8.056,62.61
Gaia DR2 6025770706050843904,16 28 05.94,-30 37 42.15,,,,63.08
Gaia DR2 6025984045686390784,16 55 28.00,-34 31 00.62,,,,86.19
Gaia DR2 6026080974488925440,16 54 50.87,-33 56 50.47,DA,7709.0,8.45,51.88
Gaia DR2 6026098910273161216,16 49 32.81,-34 53 14.53,DC,7018.0,8.102,80.37
Gaia DR2 6026135267220970368,16 51 27.53,-34 28 09.70,DA,15559.0,8.04,64.32
Gaia DR2 602669506032575488,08 28 56.89,11 52 56.14,DC,5203.0,7.79,58.86
Gaia DR2 6026943648735683840,16 46 32.02,-34 08 14.99,,,,53.47
Gaia DR2 6027147917426674432,16 51 14.39,-32 37 46.00,DA,14409.0,7.992,96.26
Gaia DR2 6027420626329470464,16 47 51.70,-32 05 46.48,,,,36.62
Gaia DR2 6027441620131139840,16 45 31.54,-32 12 44.37,,,,59.63
Gaia DR2 6027483435929073152,16 47 08.61,-31 47 46.99,DA,6085.0,8.18,64.07
Gaia DR2 6027547040109724800,16 53 56.59,-32 14 02.14,CND,,,76.74
Gaia DR2 6027859679375918592,16 48 37.01,-31 35 11.00,,,,80.79
Gaia DR2 6028033432264882816,16 52 30.60,-30 37 05.68,,,,70.57
Gaia DR2 6028298453347666816,17 04 27.49,-31 27 53.02,,,,95.80
Gaia DR2 6029328317752339840,16 58 37.00,-30 13 14.54,,,,85.00
Gaia DR2 6029378822176763392,17 03 03.34,-30 07 56.09,,,,67.98
Gaia DR2 6029567220984057344,16 53 20.12,-29 58 59.85,DA,6973.0,8.222,80.62
Gaia DR2 6029610926577552896,16 55 31.52,-29 28 53.63,,,,57.54
Gaia DR2 6029693076350373632,16 56 23.35,-29 25 23.87,,,,77.73
Gaia DR2 6029730635903800832,16 58 47.11,-29 07 38.89,CND,,,92.88
Gaia DR2 6029869311813857280,17 03 46.14,-29 06 02.54,,,,92.57
Gaia DR2 6029882334155984128,17 03 25.56,-29 02 08.50,,,,96.19
Gaia DR2 6030044202876681984,17 00 20.56,-29 09 06.25,CND,,,66.99
Gaia DR2 603025777864658176,08 37 35.71,12 42 11.08,CND,,,93.57
Gaia DR2 6030281628638079744,17 01 51.39,-27 46 42.86,CND,,,83.75
Gaia DR2 6030314579645604992,17 04 03.57,-27 26 29.74,CND,,,31.87
Gaia DR2 6030331617741121024,16 42 37.06,-32 26 30.40,,,,48.72
Gaia DR2 6030481327432841472,16 43 45.59,-31 44 40.28,,,,48.76
Gaia DR2 6030532622195962240,16 42 28.18,-31 37 27.19,DA,8784.0,7.976,73.11
Gaia DR2 6030576710053965312,16 44 42.39,-31 06 26.75,,,,91.37
Gaia DR2 6030638179607023104,16 39 38.19,-31 36 53.56,DA,5316.0,8.207,87.09
Gaia DR2 6030749363418996352,16 41 24.52,-31 08 21.79,DA,9776.0,7.861,98.16
Gaia DR2 6030798532208427904,16 42 00.81,-30 41 16.40,DC,6693.0,8.24,54.86
Gaia DR2 6030959679381781632,16 45 08.78,-30 48 46.55,,,,63.28
Gaia DR2 6031098187795512832,16 48 32.52,-30 07 06.95,,,,35.58
Gaia DR2 6031231499269624832,16 44 57.60,-29 50 09.09,CND,,,17.95
Gaia DR2 6031246759316650112,16 43 52.43,-29 57 52.43,DA,6485.0,8.453,99.67
Gaia DR2 6031316715716473216,16 48 05.83,-29 39 35.97,DA:,4928.0,7.983,68.67
Gaia DR2 603155765049434752,08 38 23.57,13 21 31.38,DC,6566.0,8.067,80.83
Gaia DR2 6032281365389830272,16 43 18.46,-28 08 51.87,DZ,5004.0,8.045,87.34
Gaia DR2 6032582558540845184,16 53 12.46,-29 41 08.27,,,,33.20
Gaia DR2 6033189729480479360,16 59 12.45,-28 00 25.32,CND,,,50.27
Gaia DR2 6033293770770992768,17 00 31.46,-27 41 16.84,,,,39.02
Gaia DR2 6033774566589293696,16 45 28.46,-28 06 18.04,,,,94.56
Gaia DR2 6033821403229945728,16 46 21.24,-27 42 16.68,CND,,,92.76
Gaia DR2 6033829821357010304,16 46 46.85,-27 35 31.67,,,,75.46
Gaia DR2 6033837410545685888,16 46 49.92,-27 22 18.92,,,,91.11
Gaia DR2 6034204926626486784,16 45 41.65,-26 35 25.73,,,,28.34
Gaia DR2 6034306902016231552,16 55 03.36,-26 39 05.66,,,,93.33
Gaia DR2 6034673387305294336,16 48 48.18,-25 30 26.55,DA,9292.0,8.429,70.45
Gaia DR2 6035968435883453184,16 00 52.97,-33 57 26.30,DC,,,76.81
Gaia DR2 6037139798019991936,16 20 48.88,-31 54 22.10,DA:,4998.0,7.968,64.52
Gaia DR2 6037246583787026304,16 21 51.92,-31 30 44.85,DA,9506.0,7.986,55.54
Gaia DR2 6038202402993885184,16 12 57.43,-31 18 33.30,DA,5270.0,8.077,69.50
Gaia DR2 6038379256859869056,16 17 16.60,-30 11 34.29,DC:,7163.0,8.296,94.93
Gaia DR2 6038928561701399040,16 20 31.81,-28 56 47.63,DA,5402.0,7.909,95.62
Gaia DR2 6039052570299471616,16 15 48.86,-29 06 24.04,DA,5148.0,8.064,93.50
Gaia DR2 6039359845136495232,15 55 53.43,-32 13 27.64,DA,5614.0,8.079,74.20
Gaia DR2 6039426713485955968,15 55 21.71,-31 55 41.96,DA,5510.0,8.082,78.16
Gaia DR2 6039638438198068096,15 53 43.77,-31 33 36.27,DA:,4314.0,7.756,40.87
Gaia DR2 6039733958272827904,15 53 06.26,-31 06 24.43,DC:,9077.0,8.01,76.09
Gaia DR2 6041097485824305024,15 56 01.36,-29 21 36.16,DA,5837.0,7.877,79.34
Gaia DR2 6041210563725192960,15 59 34.81,-28 45 07.73,DA:,5244.0,7.941,58.89
Gaia DR2 6042326739826216960,16 18 12.11,-27 24 33.90,DA,6322.0,8.603,47.64
Gaia DR2 6042776027762935680,16 00 37.04,-28 12 39.58,DA,5042.0,8.008,98.75
Gaia DR2 6042903334900385408,16 05 09.62,-27 17 57.50,DA:,4799.0,7.837,89.95
Gaia DR2 6043135538009715712,16 01 47.91,-26 59 20.72,,,,61.13
Gaia DR2 6043310325991085952,16 09 11.00,-26 41 18.31,,,,50.50
Gaia DR2 6043560911573046272,16 05 58.57,-26 17 15.77,DA,5830.0,7.929,59.71
Gaia DR2 6043577056343658496,16 04 24.58,-26 11 29.33,CND,,,56.07
Gaia DR2 6043929106225153920,16 28 34.16,-29 12 54.79,DA,5664.0,8.164,80.03
Gaia DR2 6044161584214640128,16 29 02.63,-28 36 38.80,DC:,7809.0,8.415,61.16
Gaia DR2 6044265144466741888,16 30 58.01,-28 18 15.51,DC,3952.0,7.721,39.29
Gaia DR2 6046370060701175680,16 38 07.47,-26 24 52.73,DB,15286.0,8.003,86.52
Gaia DR2 6046599721186624640,16 39 10.62,-25 13 16.83,DA,5288.0,8.137,89.56
Gaia DR2 6046797766418516736,16 50 57.71,-24 58 26.42,DC:,6684.0,8.335,69.25
Gaia DR2 6047050344855635968,16 43 15.85,-24 25 28.19,,,,60.57
Gaia DR2 6047361854540191232,16 39 26.33,-24 55 41.60,DA,7666.0,8.447,68.01
Gaia DR2 6047994898361314944,16 43 22.57,-23 19 18.43,,,,88.41
Gaia DR2 6049968143773236480,16 12 04.24,-23 53 51.82,DA,6534.0,8.014,73.27
Gaia DR2 6050260643931678336,16 20 11.04,-23 18 41.86,DA,6752.0,7.791,96.57
Gaia DR2 6051091604138435968,16 29 35.17,-22 38 30.27,DC:,8126.0,7.928,61.91
Gaia DR2 6051211313471156352,16 37 18.35,-22 35 58.13,DA,7227.0,8.136,61.41
Gaia DR2 6051704680658521856,16 35 21.16,-20 58 29.60,DA,8444.0,8.136,93.64
Gaia DR2 6051734165609519488,16 23 25.99,-23 02 19.29,DA,6471.0,7.93,78.93
Gaia DR2 6051770793090983168,16 24 31.13,-22 38 25.58,CND,,,92.28
Gaia DR2 6051964169694889472,16 26 34.35,-21 50 55.06,DA,4758.0,8.168,88.92
Gaia DR2 6052441529545987712,16 32 08.15,-20 58 10.25,DA,12488.0,8.011,92.04
Gaia DR2 6053059042832294016,12 13 46.08,-65 03 06.14,DA,7068.0,8.094,62.47
Gaia DR2 6054148143441683072,12 17 25.46,-63 29 45.06,DZ,7996.0,8.237,37.52
Gaia DR2 6054568019397353472,12 25 17.02,-62 51 38.89,DA,5232.0,8.298,43.49
Gaia DR2 6054822448956914432,12 22 37.13,-62 17 21.16,DC:,6271.0,7.736,66.55
Gaia DR2 6057018796472310016,13 03 29.86,-58 46 17.74,DA,4983.0,8.105,84.61
Gaia DR2 6057283297753959168,13 01 50.86,-58 11 18.23,,,,59.33
Gaia DR2 6058568248896267008,12 04 29.64,-60 56 52.67,DA,8040.0,8.064,73.54
Gaia DR2 6059022312819144064,12 16 02.87,-59 12 19.77,DC,6589.0,8.241,86.32
Gaia DR2 6059551693309161472,12 28 33.33,-58 01 07.57,DA,6641.0,8.059,50.63
Gaia DR2 6059699165311792384,12 39 42.29,-59 37 14.05,DA,6576.0,8.085,92.10
Gaia DR2 6060155187750756096,12 48 28.57,-57 30 44.06,DA,5029.0,7.941,94.46
Gaia DR2 6060761808912920064,12 39 27.56,-58 15 30.95,DC,7462.0,8.07,78.29
Gaia DR2 6061401587252497152,12 54 15.30,-56 15 33.27,,,,70.39
Gaia DR2 6061504116720537472,12 57 32.47,-55 54 37.15,DA,6521.0,7.694,44.44
Gaia DR2 6061506139637945984,12 58 34.98,-55 48 48.51,,,,93.33
Gaia DR2 6062119121699205120,13 22 49.03,-58 26 02.36,CND,,,35.52
Gaia DR2 6062284082795027456,13 19 16.33,-58 27 52.34,,,,85.42
Gaia DR2 6062320778971221248,13 20 39.16,-58 15 36.90,,,,52.99
Gaia DR2 6063252374582712320,13 19 59.00,-56 39 29.27,DC,7009.0,8.108,35.80
Gaia DR2 6063372324416986368,13 10 58.03,-57 02 47.50,,,,93.55
Gaia DR2 6063759760507291392,13 28 16.88,-55 51 37.72,DA,8681.0,7.396,88.08
Gaia DR2 6064041476001629440,13 26 41.18,-55 04 24.97,DA,9093.0,7.896,90.72
Gaia DR2 6064142394854243584,13 42 36.89,-56 43 04.51,DC:,4939.0,7.913,61.27
Gaia DR2 6064694693281254912,13 51 01.15,-55 09 14.57,DA,7478.0,8.475,62.72
Gaia DR2 6065135769254156160,13 54 48.00,-53 39 30.68,DA,4597.0,7.869,74.69
Gaia DR2 6065382021191694848,13 39 18.88,-54 49 38.49,DA,5629.0,8.051,73.71
Gaia DR2 6065382021191695104,13 39 20.02,-54 49 37.80,DA,5783.0,8.158,71.13
Gaia DR2 6065557462016813312,13 34 24.45,-54 28 08.89,DC,5543.0,7.988,71.20
Gaia DR2 6065858247165412352,13 44 12.25,-53 46 55.02,DA,4639.0,7.883,53.19
Gaia DR2 6065870105573246080,13 45 29.26,-53 34 05.29,DA,6818.0,8.361,69.40
Gaia DR2 6066280223405224704,13 47 19.33,-52 16 06.21,DA,6382.0,8.082,86.85
Gaia DR2 6066978756903666304,13 22 09.80,-54 56 09.22,DA:,5103.0,8.036,65.29
Gaia DR2 6067215083178616704,13 17 26.35,-54 38 15.93,DA,5761.0,7.951,24.65
Gaia DR2 6069188564804124928,13 41 03.10,-52 17 48.68,DA,13347.0,7.961,93.13
Gaia DR2 6069232029875714688,13 44 34.78,-51 46 53.35,DZ,8937.0,7.987,73.33
Gaia DR2 6069271513509086336,13 43 01.66,-51 52 49.90,DA:,5729.0,8.513,83.68
Gaia DR2 6069699842008171008,13 45 46.59,-50 07 40.69,DA,4139.0,7.809,50.72
Gaia DR2 6070573197835695872,13 35 59.98,-50 19 42.90,DA,4292.0,7.28,93.56
Gaia DR2 6070607076539724416,13 37 59.88,-49 57 26.81,DC,7422.0,7.996,99.57
Gaia DR2 6070616422391572608,13 38 49.70,-49 46 03.69,DA,7362.0,8.434,87.39
Gaia DR2 6070620403826615552,13 38 31.78,-49 43 15.73,DC:,5030.0,7.989,71.23
Gaia DR2 6073184434897619200,12 34 09.28,-56 45 35.25,DA,7093.0,7.956,82.03
Gaia DR2 6073379632562834688,12 45 53.11,-55 18 56.29,,,,26.89
Gaia DR2 6074160144070053504,12 52 12.23,-53 52 46.96,DC:,4887.0,8.024,40.59
Gaia DR2 6074360637459602944,12 35 30.64,-54 37 50.01,,,,39.79
Gaia DR2 6074573736557841664,12 36 16.81,-54 15 35.43,,,,71.56
Gaia DR2 6074616342630827904,12 32 48.51,-54 02 31.92,,,,79.55
Gaia DR2 6074617678345401856,12 34 18.45,-54 15 18.23,,,,35.61
Gaia DR2 607535218647587328,09 11 12.20,15 15 45.13,DC,4827.0,7.927,55.08
Gaia DR2 6075695719436179072,12 03 59.97,-55 53 50.07,DA:,6261.0,8.627,96.90
Gaia DR2 6075751377915558912,12 05 40.59,-55 32 20.83,DA:,5311.0,7.817,78.38
Gaia DR2 6075820548380616320,12 13 08.50,-55 13 00.72,DC:,5051.0,7.893,94.52
Gaia DR2 6077086013230609152,12 19 02.57,-53 44 44.76,DA,24272.0,9.058,95.76
Gaia DR2 6077163460079830400,12 21 43.40,-53 06 09.73,,,,81.59
Gaia DR2 6077486617714150016,12 22 06.92,-52 27 19.59,,,,59.59
Gaia DR2 6077588906663752320,12 27 51.42,-51 31 15.40,,,,62.24
Gaia DR2 6077608663504911744,12 30 40.62,-54 13 42.62,,,,83.54
Gaia DR2 6077649792116699264,12 34 15.44,-53 42 49.70,DA,5656.0,8.215,76.39
Gaia DR2 6077974972688805248,12 31 37.29,-52 47 08.48,DA,7945.0,8.027,42.68
Gaia DR2 6079710620510474240,12 45 04.63,-49 13 38.13,DQ,8497.0,8.059,29.06
Gaia DR2 607977291041540608,09 11 20.19,16 40 21.17,DC,4984.0,8.022,70.47
Gaia DR2 6080508831582456448,13 13 35.71,-51 57 23.84,DA:,6113.0,8.469,97.69
Gaia DR2 6080685917382766592,13 21 52.68,-50 44 06.67,DA,4791.0,7.966,86.28
Gaia DR2 6080685917382773504,13 21 53.89,-50 43 54.18,DA,5654.0,8.256,86.39
Gaia DR2 6080921560759000448,13 15 36.26,-50 36 38.95,DA,7466.0,8.551,92.14
Gaia DR2 6081023918420887552,13 01 23.38,-52 14 57.60,DA:,4685.0,7.925,82.38
Gaia DR2 6081066692003693696,12 59 00.23,-52 02 51.51,,,,97.16
Gaia DR2 6081100197048827392,13 01 43.75,-51 45 39.13,DA,8900.0,7.973,89.40
Gaia DR2 608113531698574592,08 47 44.60,12 53 01.59,DZ,6443.0,8.062,91.98
Gaia DR2 6081788182088260608,13 15 51.43,-49 34 26.23,DA:,5522.0,8.097,62.44
Gaia DR2 6082648854874896256,13 30 04.41,-48 36 27.83,,,,81.27
Gaia DR2 6082698715146450688,13 33 15.98,-49 16 23.79,DC:,5917.0,7.941,73.56
Gaia DR2 6082802653356711680,13 34 37.85,-48 31 43.76,DA,6346.0,8.031,67.34
Gaia DR2 6083398760456158336,13 25 44.51,-48 30 50.02,,,,67.28
Gaia DR2 6084371622095346816,12 56 16.91,-50 55 25.21,DA,5805.0,8.051,52.24
Gaia DR2 6084606677066861568,13 01 54.76,-49 29 26.91,DZ:,4570.0,7.151,94.35
Gaia DR2 6084620691539292288,13 05 25.15,-49 21 39.53,DA,7536.0,8.048,87.79
Gaia DR2 6086087066392460032,13 06 13.59,-47 22 29.84,DA:,11662.0,9.323,86.68
Gaia DR2 6087501893038995200,13 28 34.72,-45 05 10.08,DC:,6826.0,8.07,95.72
Gaia DR2 6087659745978472064,13 32 16.07,-44 08 40.91,DC,5705.0,8.174,34.18
Gaia DR2 6087665449694838272,13 33 34.73,-43 57 43.95,DA:,8979.0,8.629,90.85
Gaia DR2 6088013616923508096,13 22 00.41,-44 33 19.26,DA,9229.0,7.928,58.40
Gaia DR2 6088163661605009536,13 18 23.19,-44 54 08.12,DA,6002.0,8.164,81.57
Gaia DR2 6088188538048802176,13 18 11.96,-44 29 14.27,,,,53.30
Gaia DR2 6088501319050848384,13 31 13.72,-43 20 53.42,DA,6712.0,7.994,95.85
Gaia DR2 6089562175969229824,14 11 25.83,-51 33 40.63,CND,,,72.84
Gaia DR2 6090376806711453184,13 52 09.97,-51 02 23.14,DA,10044.0,8.476,94.11
Gaia DR2 6090689518992480256,14 06 13.35,-49 56 04.78,DA,7709.0,6.748,63.20
Gaia DR2 6090917182315013120,14 02 38.51,-49 47 01.58,DA,6676.0,8.37,58.43
Gaia DR2 6091238278374452864,14 20 11.00,-50 03 57.94,DA,8149.0,7.951,50.06
Gaia DR2 6091497350793143936,14 15 16.84,-49 37 42.07,DC:,4567.0,7.692,49.99
Gaia DR2 6091649972456847488,14 21 07.08,-48 43 02.85,DC,7047.0,8.318,73.55
Gaia DR2 6092018003906765312,14 25 48.17,-48 12 20.51,DA:,5252.0,7.989,54.75
Gaia DR2 6092354729342381952,14 13 51.85,-48 46 04.79,DA:,4940.0,7.934,58.48
Gaia DR2 6092709214469304832,14 17 23.85,-47 28 13.53,CND,,,68.75
Gaia DR2 6092711658311010304,14 18 18.74,-47 25 25.47,DQ,8047.0,7.719,76.84
Gaia DR2 6093134489248265856,14 21 58.53,-46 38 30.42,CND,,,57.52
Gaia DR2 6093257119157372160,14 22 53.73,-46 05 49.04,DC,6480.0,8.215,37.81
Gaia DR2 6093462311215003776,13 50 05.99,-50 25 34.60,DC,8483.0,8.388,85.99
Gaia DR2 6093462315507278208,13 50 05.79,-50 25 40.44,DA,6463.0,8.135,85.05
Gaia DR2 6093607652907433600,13 54 23.64,-49 32 28.07,,,,35.92
Gaia DR2 6094136999036101504,14 06 41.84,-48 02 59.96,DA,4827.0,8.115,55.51
Gaia DR2 6094254715498063360,13 59 48.91,-48 22 12.74,DA,6808.0,8.447,42.58
Gaia DR2 6094582679203933184,13 47 43.11,-48 48 55.19,DA,6406.0,8.582,40.91
Gaia DR2 6094698643320892288,13 54 14.48,-48 06 44.70,DA,7311.0,8.45,98.72
Gaia DR2 6095272317804522752,13 59 10.74,-46 48 37.88,DZ,4822.0,7.938,96.17
Gaia DR2 6095609146325715968,13 58 25.07,-45 25 33.79,DA:,6046.0,8.24,68.44
Gaia DR2 6096108595184991616,14 13 15.33,-45 36 01.29,,,,41.18
Gaia DR2 6096610251656735360,14 18 49.98,-44 47 26.48,DA,5813.0,8.224,70.55
Gaia DR2 6096618257480937344,14 19 22.44,-44 40 44.86,DA,11558.0,8.067,59.88
Gaia DR2 6098000270582307584,14 34 42.52,-46 56 09.39,DA,7042.0,8.354,99.57
Gaia DR2 6098475813661250176,14 43 18.90,-45 57 10.03,,,,42.61
Gaia DR2 6098842359047215488,14 38 26.85,-44 41 19.38,DA,6134.0,7.391,96.02
Gaia DR2 6100579832238874496,14 48 01.71,-42 50 00.15,DA,8751.0,7.964,52.52
Gaia DR2 6100635460650568960,14 47 59.18,-42 28 42.28,,,,61.63
Gaia DR2 6100799734557573760,14 53 47.86,-42 25 59.63,,,,41.14
Gaia DR2 6100874325254341760,14 59 28.71,-41 53 44.10,,,,89.53
Gaia DR2 6100881132777877248,14 59 03.53,-41 44 03.90,,,,78.04
Gaia DR2 6100919405233786880,14 55 04.45,-41 50 11.20,,,,51.90
Gaia DR2 6100949882320733056,14 57 30.88,-41 22 27.51,,,,83.30
Gaia DR2 6101116015947658368,14 54 13.41,-41 36 15.80,,,,87.75
Gaia DR2 6101514760712903424,14 46 23.55,-41 18 01.74,DA:,4558.0,8.289,46.82
Gaia DR2 6101784106703124352,14 42 36.56,-40 52 04.05,,,,73.34
Gaia DR2 6101937690439139712,14 48 02.44,-40 48 49.16,,,,55.02
Gaia DR2 6102183160704340608,14 44 58.19,-40 08 03.12,,,,92.02
Gaia DR2 6102314724144916736,14 47 32.83,-39 31 14.17,DA,8654.0,8.291,40.38
Gaia DR2 6102340425230009600,14 47 16.73,-39 12 16.27,DA,8994.0,7.94,93.27
Gaia DR2 6103428662564480768,14 32 57.06,-40 53 26.97,DA,7221.0,8.365,91.12
Gaia DR2 6103973852832120192,14 23 06.47,-40 57 26.74,DA,14014.0,8.361,79.65
Gaia DR2 6104358711963104512,14 24 11.80,-40 38 37.09,,,,59.70
Gaia DR2 6104457775386719360,14 23 03.95,-40 07 07.21,DA,9615.0,7.909,96.49
Gaia DR2 6104648506295124736,14 36 37.94,-41 28 18.94,DC,7532.0,8.179,81.38
Gaia DR2 6104828379520811648,14 40 26.36,-40 15 27.32,DA,4688.0,7.961,81.00
Gaia DR2 61048665146205824,03 25 27.16,20 55 16.95,DA,4494.0,7.911,76.62
Gaia DR2 6104953891350136192,14 36 02.68,-40 18 46.13,,,,52.36
Gaia DR2 6105111847362645760,14 38 22.07,-39 20 28.07,,,,58.62
Gaia DR2 6105246949853728512,14 43 43.39,-39 30 54.13,,,,71.85
Gaia DR2 6105501963536772864,14 40 22.19,-38 55 07.06,,,,96.29
Gaia DR2 6106958197976340864,13 42 26.21,-47 30 37.96,,,,69.03
Gaia DR2 6107113950664587008,13 46 44.02,-46 30 57.97,DA,6360.0,8.017,94.83
Gaia DR2 6107114058041088512,13 46 47.78,-46 30 42.11,DA,6171.0,8.348,87.31
Gaia DR2 6107335261737156352,13 45 48.89,-45 59 45.24,,,,68.83
Gaia DR2 6107347154502415744,13 48 16.26,-45 48 51.65,DA,5251.0,7.991,70.35
Gaia DR2 6107751461247802240,13 49 50.82,-45 15 05.39,,,,45.22
Gaia DR2 6107886804256910208,13 54 23.74,-44 36 08.70,DA,8829.0,7.965,76.19
Gaia DR2 6108638840152256000,13 51 22.21,-43 54 11.99,DA:,6854.0,8.252,82.10
Gaia DR2 610896872370416128,09 03 21.11,16 26 18.20,DA,4719.0,8.285,64.60
Gaia DR2 6109231339479424896,13 59 44.29,-44 04 45.07,,,,68.64
Gaia DR2 6109243532890807296,14 01 07.11,-44 01 11.56,,,,81.51
Gaia DR2 611074413433751680,09 08 34.18,17 21 43.53,DC,4840.0,7.303,32.60
Gaia DR2 6110836931393157504,14 03 59.90,-41 21 34.21,,,,58.55
Gaia DR2 6112305299115379200,13 41 47.49,-42 00 52.74,DZ,10273.0,7.679,98.09
Gaia DR2 6112389205596461696,13 46 11.75,-41 28 07.98,DA,5024.0,8.091,93.93
Gaia DR2 61125459160910080,03 21 33.48,20 39 29.82,DA,5090.0,7.982,91.76
Gaia DR2 6112923396445234560,13 31 53.30,-41 17 51.85,DA,7053.0,8.178,55.56
Gaia DR2 61130544402258304,03 21 31.42,20 48 06.78,DA,7483.0,8.388,95.36
Gaia DR2 6114162202451873152,13 51 09.97,-39 12 54.70,DA,5650.0,7.446,48.37
Gaia DR2 6114344102909485824,14 01 14.89,-39 14 32.37,DAH,5512.0,8.43,27.78
Gaia DR2 6114807405319733504,13 49 08.84,-39 31 16.75,DA:,6157.0,8.134,83.62
Gaia DR2 6114956462162426752,13 50 31.85,-38 48 54.65,DA,9436.0,8.059,92.10
Gaia DR2 6115074483568152448,13 44 17.78,-38 48 40.69,CND,,,92.73
Gaia DR2 6115222681414823040,13 48 53.91,-38 07 25.97,DA,6330.0,8.029,64.33
Gaia DR2 6115273323373218560,13 45 00.44,-38 00 42.32,,,,93.82
Gaia DR2 6115662344330247424,13 50 52.97,-37 12 20.81,DA,4589.0,7.007,94.45
Gaia DR2 6115966531094473600,14 13 31.51,-41 06 36.38,DA,5404.0,8.053,88.77
Gaia DR2 6116148504568608384,14 18 28.60,-39 50 12.83,,,,81.65
Gaia DR2 6116237221408728832,14 12 57.79,-40 01 25.40,DA,5857.0,8.055,64.84
Gaia DR2 6117131016987347584,14 10 18.07,-39 07 35.85,CND,,,92.51
Gaia DR2 6117902603574181376,14 14 17.53,-37 20 34.49,DC,5894.0,7.939,62.15
Gaia DR2 6118710877757717120,14 31 45.59,-36 53 45.49,DA,5602.0,8.028,95.50
Gaia DR2 6118918861554474368,14 32 53.26,-35 55 13.37,DA,6925.0,7.55,82.23
Gaia DR2 6120337055454997760,14 25 37.78,-33 28 31.36,CND,,,95.17
Gaia DR2 612132414202027136,09 04 25.07,18 22 17.86,,,,91.47
Gaia DR2 6121538619801861120,13 57 54.68,-36 46 45.12,DZ:,4884.0,7.954,45.97
Gaia DR2 6121968494487703424,13 58 10.07,-35 09 45.91,,,,86.25
Gaia DR2 6122435816994180352,14 00 01.77,-34 23 03.91,DA,7538.0,8.091,93.22
Gaia DR2 6123044710214147456,14 12 47.03,-33 51 45.98,CND,,,94.94
Gaia DR2 6123269216744427008,14 22 13.91,-33 23 53.43,DA,11610.0,8.009,75.25
Gaia DR2 6123632674056729472,14 20 48.63,-32 34 51.96,DA,9008.0,7.812,72.79
Gaia DR2 6123884561003046400,14 10 14.33,-33 16 02.21,CND,,,92.03
Gaia DR2 6124150475312093312,14 05 32.48,-32 38 26.60,DA,6348.0,8.138,80.81
Gaia DR2 6125685217454510976,12 23 21.17,-51 13 21.34,,,,74.18
Gaia DR2 6125759129551730048,12 14 25.95,-51 41 50.34,DC,10001.0,8.105,76.81
Gaia DR2 6125765554822872448,12 14 52.33,-51 32 49.91,DA,13749.0,8.011,95.83
Gaia DR2 6126249443023625600,12 09 54.45,-51 07 31.12,DA,8440.0,8.134,77.32
Gaia DR2 6126758100284066432,12 22 42.75,-49 52 41.08,DA,5594.0,8.011,65.86
Gaia DR2 6126920419987669120,12 17 27.88,-49 45 02.55,,,,34.02
Gaia DR2 6127190796769848960,12 31 56.57,-50 32 49.96,DA,18012.0,7.935,32.81
Gaia DR2 6127777386225197568,12 44 00.94,-48 45 26.66,DC:,6149.0,7.758,99.68
Gaia DR2 612781160422662016,09 42 46.33,10 26 08.22,DA,5556.0,8.122,78.30
Gaia DR2 6128282817966430464,12 28 38.30,-49 24 52.03,DA,5540.0,8.016,77.93
Gaia DR2 6128379609350606336,12 29 55.66,-48 49 31.16,DA,5303.0,8.004,92.03
Gaia DR2 6128698119835593728,12 33 06.57,-47 58 08.97,DA,4823.0,8.059,69.40
Gaia DR2 6128779728511328896,12 33 48.21,-47 21 04.09,DA,7867.0,8.27,89.31
Gaia DR2 6129229291326731648,12 40 37.27,-46 20 55.45,DA,8926.0,8.61,97.38
Gaia DR2 6131272012129388928,12 22 50.09,-46 39 03.89,DA,7361.0,8.078,41.24
Gaia DR2 6131683160762152192,12 27 08.54,-47 32 31.14,DA,7429.0,8.004,84.43
Gaia DR2 6131690337646411008,12 29 54.60,-47 30 04.09,DA,4805.0,7.996,71.30
Gaia DR2 6132591112547130368,12 36 54.33,-44 54 22.93,DA,7988.0,7.955,56.88
Gaia DR2 6132806170148190720,12 27 32.70,-45 57 58.86,DC:,5106.0,7.898,46.72
Gaia DR2 6132928563835899648,12 32 43.93,-45 27 49.16,DA,9129.0,7.98,88.14
Gaia DR2 6133033635912545280,12 34 45.25,-44 40 04.96,DC,6665.0,8.192,28.47
Gaia DR2 6133119737121653248,12 28 19.20,-44 49 49.28,DA:,4294.0,7.173,93.78
