wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 4170899954423211776,10761.0,,14.44778769,69.21,16.443964,16.45544,16.413574
Gaia DR2 4193463474904213248,4880.0,,11.92649269,83.85,19.69382,20.144375,19.165388
Gaia DR2 4213409341688406912,6848.0,,41.92511966,23.85,15.506633,15.714118,15.1876135
Gaia DR2 4217729529025009024,10259.0,,19.3359469,51.72,16.126913,16.178068,16.045292
Gaia DR2 421958168642816128,4873.0,,10.07519891,99.25,19.847778,20.365265,19.227516
Gaia DR2 4225867834919472512,5489.0,,15.54924011,64.31,18.728676,19.07552,18.252253
Gaia DR2 422726589831800576,7172.0,,11.56820501,86.44,18.778704,19.021458,18.417042
Gaia DR2 4229008869056208256,6977.0,,18.95769212,52.75,17.349169,17.530136,17.014345
Gaia DR2 4232108426695238272,7257.0,,14.72584216,67.91,18.12306,18.332893,17.782894
Gaia DR2 4234191726357053184,7215.0,,13.15891633,75.99,18.609877,18.789013,18.25758
Gaia DR2 423974707328909440,10215.0,,14.86491085,67.27,16.4797,16.521059,16.41837
Gaia DR2 4247531478160569216,7696.0,,12.0340509,83.10,18.17288,18.366493,17.90635
Gaia DR2 4250205872691106560,4850.0,,12.66419125,78.96,19.440132,19.998518,18.841972
Gaia DR2 4257615996968058752,7876.0,,18.13927368,55.13,17.160488,17.300375,16.924753
Gaia DR2 426097799867766272,7582.0,,11.08336933,90.23,18.643913,18.859612,18.351513
Gaia DR2 4268167357267580160,6466.0,,31.42358986,31.82,16.512003,16.747116,16.149149
Gaia DR2 4268406466624858624,7524.0,,13.43437215,74.44,17.660582,17.793417,17.445011
Gaia DR2 4268451443558254976,7044.0,,10.17193464,98.31,18.8305,19.079119,18.493568
Gaia DR2 4277114731860237056,6376.0,,12.19460316,82.00,18.401354,18.61052,18.044643
Gaia DR2 4288942973032203904,4436.0,,25.37754916,39.40,19.11951,19.407137,18.653687
Gaia DR2 4292952823204500352,5692.0,,10.29178494,97.16,19.230137,19.608303,18.913654
Gaia DR2 4320887496662508416,5136.0,,11.8876469,84.12,19.995943,20.354353,19.447002
Gaia DR2 4354353293406211200,4220.0,,18.50537262,54.04,19.522926,20.363127,18.736843
Gaia DR2 4357758274758945280,4978.0,,12.4523951,80.31,19.459066,19.943584,18.81968
Gaia DR2 4359773817011429760,4809.0,,10.13181618,98.70,19.889475,20.20554,19.246641
Gaia DR2 4370302706003791104,4350.0,,16.64656744,60.07,19.198458,19.912388,18.448204
Gaia DR2 4372278631477380224,7954.0,,10.35096034,96.61,18.705158,18.916763,18.446625
Gaia DR2 4372725209292759936,4551.0,,14.30337561,69.91,19.287561,19.832453,18.574825
Gaia DR2 4375784119357032448,4166.0,,16.18526905,61.78,20.098692,20.814476,19.282408
Gaia DR2 4387674856576862976,6721.0,,12.14406866,82.34,18.337492,18.688164,18.018969
Gaia DR2 439872275371188608,6255.0,,11.35552525,88.06,18.520805,18.764606,17.868446
Gaia DR2 4402794756366307328,6585.0,,12.27827703,81.44,17.99444,18.210976,17.740168
Gaia DR2 4403059253334693248,7747.0,,10.7332113,93.17,17.980322,18.122046,17.825958
Gaia DR2 4404459928069184896,4652.0,,13.95918728,71.64,19.608238,20.315828,18.979603
Gaia DR2 441101765595884800,4670.0,,10.33348229,96.77,19.919447,20.372824,19.336985
Gaia DR2 4440057823911572992,5552.0,,16.65421958,60.04,18.24758,18.617786,17.749575
Gaia DR2 4469700519955285760,11765.0,,10.22459995,97.80,16.716326,16.706924,16.711035
Gaia DR2 4471738941493617408,8179.0,,16.82037088,59.45,17.260729,17.404486,17.052206
Gaia DR2 4472775712243958272,4734.0,,13.65640399,73.23,19.54616,20.119669,18.936459
Gaia DR2 4478088208829370112,6073.0,,12.40505985,80.61,18.984795,19.348682,18.601519
Gaia DR2 4479505930308354560,4815.0,,10.33805783,96.73,19.874346,20.493336,19.409805
Gaia DR2 4482588235045560960,4241.0,,13.26446099,75.39,19.70662,20.562836,19.00277
Gaia DR2 4484289866726156160,4203.0,,25.02071487,39.97,18.528856,19.260303,17.717615
Gaia DR2 4494877446445481472,8259.0,-3.26,22.40145088,44.64,16.103142,16.185019,15.969848
Gaia DR2 4502205519647039616,9173.0,,10.5140818,95.11,17.748539,17.834059,17.614634
Gaia DR2 4521112274922384640,8256.0,,16.53843976,60.47,17.221233,17.339418,16.953865
Gaia DR2 4521918934206152704,7614.0,,14.62386187,68.38,18.35589,18.542988,18.149977
Gaia DR2 4545191991882663936,5231.0,,10.05144251,99.49,19.786469,20.26455,19.314775
Gaia DR2 4549883741142600704,6677.0,,10.2193906,97.85,19.375303,19.693457,18.966751
Gaia DR2 4558946573110621952,8739.0,,10.19078004,98.13,17.804712,17.879637,17.667372
Gaia DR2 4570954507097672448,4580.0,,10.0952699,99.06,19.853453,20.627579,19.223251
Gaia DR2 4589139574728058880,7743.0,,25.3953326,39.38,16.060678,16.152319,15.804685
Gaia DR2 4597537605881418496,8771.0,,12.97056095,77.10,17.698658,17.825317,17.513546
Gaia DR2 4598979924619296384,7904.0,,16.83813422,59.39,16.879534,16.98,16.728554
Gaia DR2 4631058932273227008,6298.0,,14.74039559,67.84,17.85852,18.083279,17.538567
Gaia DR2 4635744093052382720,4785.0,,12.65674917,79.01,19.258562,19.814232,18.603468
Gaia DR2 4643657480101114368,5266.0,,10.61167384,94.24,19.734463,20.12258,19.16962
Gaia DR2 4645593307761884288,4846.0,,13.11175592,76.27,19.26959,19.88649,18.648382
