wdid,teff,logL,parallax,Dpc,G,BP,RP
WD 1425+540,14091.0,-2.16,19.40361223,51.54,14.994548,14.939161,15.078246
WD 1457+249,13300.0,,11.84279996,84.44,16.306206,16.282782,16.3305
WD 1703+319,13608.0,-2.48,12.12671444,82.46,16.339703,16.292608,16.41969
WD 1708-871,23980.0,-1.33,14.44314694,69.24,14.736713,14.639167,14.918029
WD 1726-57,14320.0,-2.33,17.10303413,58.47,15.284917,15.239879,15.350322
WD 2034-532,17160.0,-2.19,16.11407666,62.06,14.334618,14.26541,14.4479065
WD 2201-228,11968.0,,14.30413808,69.91,16.039686,16.031424,16.052395
WD 2222+683,13947.0,-2.23,13.7734503,72.60,15.649854,15.597134,15.74105
WD 2344-266,7333.0,,21.42254645,46.68,16.69739,16.85369,16.469524
WD 2354+159,24830.0,-1.34,10.49072843,95.32,15.7288685,15.6423,15.904124
WG 7,23000.0,-1.4,20.18127295,49.55,14.1032095,14.006239,14.275016
WIRED J091016.43+210554.2,16700.0,,10.38121712,96.33,16.359049,16.305916,16.463406
[SGR2010] J0705+3934,15750.0,,11.16010558,89.60,15.942188,16.06551,14.579537
